platformId,postUrl
165086498710_10160060014878711,https://www.facebook.com/165086498710/posts/10160060014878711
558397434815519_1077564322898825,https://www.facebook.com/groups/558397434815519/permalink/1077564322898825
254405297978174_5567782919973692,https://www.facebook.com/254405297978174/posts/5567782919973692
1461726493854068_6336771963016139,https://www.facebook.com/groups/1461726493854068/permalink/6336771963016139
648682165501666_1749514248751780,https://www.facebook.com/groups/648682165501666/permalink/1749514248751780
1419360785009354_3359278404350906,https://www.facebook.com/groups/1419360785009354/permalink/3359278404350906
1461726493854068_6336771699682832,https://www.facebook.com/groups/1461726493854068/permalink/6336771699682832
1690986594304040_5357517884317541,https://www.facebook.com/groups/1690986594304040/permalink/5357517884317541
240092842690227_5968518626514258,https://www.facebook.com/240092842690227/posts/5968518626514258
2009754329324598_3062821220684565,https://www.facebook.com/groups/2009754329324598/permalink/3062821220684565
1576533239146394_2689127284553645,https://www.facebook.com/groups/1576533239146394/permalink/2689127284553645
100059202431360_499601612023249,https://www.facebook.com/100059202431360/posts/499601612023249
3579010852187434_5608501195905046,https://www.facebook.com/groups/3579010852187434/permalink/5608501195905046
100067180707213_422865459962807,https://www.facebook.com/100067180707213/posts/422865459962807
50699961898_10158719210791899,https://www.facebook.com/groups/50699961898/permalink/10158719210791899
2411622119085595_3233632083551257,https://www.facebook.com/groups/2411622119085595/permalink/3233632083551257
528724187833636_1067334567305926,https://www.facebook.com/groups/528724187833636/permalink/1067334567305926
100068863704013_407014794937307,https://www.facebook.com/100068863704013/posts/407014794937307
240092842690227_5968517536514367,https://www.facebook.com/240092842690227/posts/5968517536514367
250841085658296_1324967448245649,https://www.facebook.com/groups/250841085658296/permalink/1324967448245649
475484285940535_2396064110549200,https://www.facebook.com/groups/475484285940535/permalink/2396064110549200
576898805853028_2020281044848123,https://www.facebook.com/groups/576898805853028/permalink/2020281044848123
1478557745720456_3231599013749645,https://www.facebook.com/groups/1478557745720456/permalink/3231599013749645
186487039126716_788217568953657,https://www.facebook.com/groups/186487039126716/permalink/788217568953657
1387059171403249_5240541062721688,https://www.facebook.com/groups/1387059171403249/permalink/5240541062721688
486810335685942_842735326760106,https://www.facebook.com/groups/486810335685942/permalink/842735326760106
100064495730286_473577471468773,https://www.facebook.com/100064495730286/posts/473577471468773
378644628952283_2495023133981078,https://www.facebook.com/groups/378644628952283/permalink/2495023133981078
43683037314_10158277506692315,https://www.facebook.com/groups/43683037314/permalink/10158277506692315
2037990749679968_3239861902826174,https://www.facebook.com/groups/2037990749679968/permalink/3239861902826174
662095247712696_1174139863174896,https://www.facebook.com/groups/662095247712696/permalink/1174139863174896
252439219383640_798225664804990,https://www.facebook.com/groups/252439219383640/permalink/798225664804990
175267960787380_505328854447954,https://www.facebook.com/groups/175267960787380/permalink/505328854447954
648682165501666_1749513612085177,https://www.facebook.com/groups/648682165501666/permalink/1749513612085177
2073227569605712_3283953535199770,https://www.facebook.com/groups/2073227569605712/permalink/3283953535199770
2037990749679968_3239914362820928,https://www.facebook.com/groups/2037990749679968/permalink/3239914362820928
100045211620166_640212500829132,https://www.facebook.com/100045211620166/posts/640212500829132
162020557193960_5704969692898991,https://www.facebook.com/groups/162020557193960/permalink/5704969692898991
2037990749679968_3239925216153176,https://www.facebook.com/groups/2037990749679968/permalink/3239925216153176
2037990749679968_3239938209485210,https://www.facebook.com/groups/2037990749679968/permalink/3239938209485210
105928237716388_647033830272490,https://www.facebook.com/105928237716388/posts/647033830272490
1690986594304040_5357516430984353,https://www.facebook.com/groups/1690986594304040/permalink/5357516430984353
174414362709230_2473410466142930,https://www.facebook.com/groups/174414362709230/permalink/2473410466142930
2144863609078374_3447685472129508,https://www.facebook.com/groups/2144863609078374/permalink/3447685472129508
150090921695892_5580160718688858,https://www.facebook.com/groups/150090921695892/permalink/5580160718688858
163655073691021_5782028281853644,https://www.facebook.com/163655073691021/posts/5782028281853644
962654337604810_1327192441150996,https://www.facebook.com/groups/962654337604810/permalink/1327192441150996
2037990749679968_3239940716151626,https://www.facebook.com/groups/2037990749679968/permalink/3239940716151626
1105905549546684_2638555846281639,https://www.facebook.com/groups/1105905549546684/permalink/2638555846281639
1053740647986086_6265421143484651,https://www.facebook.com/groups/1053740647986086/permalink/6265421143484651
1101034656944236_1721263684921327,https://www.facebook.com/groups/1101034656944236/permalink/1721263684921327
1302801039925491_1960951197443802,https://www.facebook.com/groups/1302801039925491/permalink/1960951197443802
62628230057_10166669022770058,https://www.facebook.com/groups/62628230057/permalink/10166669022770058
468613649945451_2500419540098175,https://www.facebook.com/groups/468613649945451/permalink/2500419540098175
100063776581398_503366465132569,https://www.facebook.com/100063776581398/posts/503366465132569
2037990749679968_3239962759482755,https://www.facebook.com/groups/2037990749679968/permalink/3239962759482755
2037990749679968_3239962836149414,https://www.facebook.com/groups/2037990749679968/permalink/3239962836149414
347846688630982_5500836399998626,https://www.facebook.com/groups/347846688630982/permalink/5500836399998626
2037990749679968_3239963106149387,https://www.facebook.com/groups/2037990749679968/permalink/3239963106149387
1690986594304040_5357515667651096,https://www.facebook.com/groups/1690986594304040/permalink/5357515667651096
162020557193960_5704968729565754,https://www.facebook.com/groups/162020557193960/permalink/5704968729565754
401148237799504_818887949358862,https://www.facebook.com/groups/401148237799504/permalink/818887949358862
682901795869677_1293912054768645,https://www.facebook.com/groups/682901795869677/permalink/1293912054768645
130158060936040_1051616655456838,https://www.facebook.com/groups/130158060936040/permalink/1051616655456838
43683037314_10158277506202315,https://www.facebook.com/groups/43683037314/permalink/10158277506202315
605968296676751_1139843396622569,https://www.facebook.com/groups/605968296676751/permalink/1139843396622569
2557579804347928_5080719138700636,https://www.facebook.com/groups/2557579804347928/permalink/5080719138700636
263770380647039_1847647818925946,https://www.facebook.com/groups/263770380647039/permalink/1847647818925946
145357553005815_1157916835083210,https://www.facebook.com/groups/145357553005815/permalink/1157916835083210
648682165501666_1749513118751893,https://www.facebook.com/groups/648682165501666/permalink/1749513118751893
265446903552231_5371525392944331,https://www.facebook.com/groups/265446903552231/permalink/5371525392944331
1424993187744770_3268551980055539,https://www.facebook.com/groups/1424993187744770/permalink/3268551980055539
803033339758232_5800736116654571,https://www.facebook.com/groups/803033339758232/permalink/5800736116654571
2803196976585063_3298922457012510,https://www.facebook.com/groups/2803196976585063/permalink/3298922457012510
203538586201_10160544864701202,https://www.facebook.com/203538586201/posts/10160544864701202
2037990749679968_3239994972812867,https://www.facebook.com/groups/2037990749679968/permalink/3239994972812867
38176539354_10159380971774355,https://www.facebook.com/groups/38176539354/permalink/10159380971774355
836772900301011_1100933763884922,https://www.facebook.com/groups/836772900301011/permalink/1100933763884922
1690986594304040_5357514477651215,https://www.facebook.com/groups/1690986594304040/permalink/5357514477651215
100063615399928_530298582433984,https://www.facebook.com/100063615399928/posts/530298582433984
318171625286877_1514457082324986,https://www.facebook.com/groups/318171625286877/permalink/1514457082324986
