Name,Twitter-Handle,Party,Gender
Rossi Fabrizio,FabriRossiFdI,Fratelli d'Italia,M
Rosso Matteo,MatteoRosso67,Fratelli d'Italia,M
Rotelli Mauro,maurorotelli,Fratelli d'Italia,M
Rotondi Gianfranco,grotondi,Fratelli d'Italia,M
Ruspandini Massimo,mruspandini,Fratelli d'Italia,M
Russo Gaetana,GaetanaRusso81,Fratelli d'Italia,F
Sbardella Luca,luca_sbardella,Fratelli d'Italia,M
Schiano Di Visconti Michele,-----,Fratelli d'Italia,M
Schifone Marta,SchifoneM,Fratelli d'Italia,F
Silvestri Rachele,raksilv,Fratelli d'Italia,F
Testa Guerino,GuerinoTesta,Fratelli d'Italia,M
Trancassini Paolo,PTrancassini,Fratelli d'Italia,M
Tremaglia Andrea,atremaglia,Fratelli d'Italia,M
Tremonti Giulio,Giulio_Tremonti,Fratelli d'Italia,M
Urzi' Alessandro,urziale,Fratelli d'Italia,M
Varchi Maria Carolina,CarolinaVarchi,Fratelli d'Italia,F
Vietri Maria Immacolata,-----,Fratelli d'Italia,F
Vinci Gianluca,GianlucaVinci80,Fratelli d'Italia,M
Volpi Andrea,VolpiAnd,Fratelli d'Italia,M
Zucconi Riccardo,zucconideputato,Fratelli d'Italia,M
Zurzolo Immacolata,-----,Fratelli d'Italia,F
Andreuzza Giorgia,GiorgiAndreuzza,Lega,F
Angelucci Antonio,-----,Lega,M
Bagnai Alberto,AlbertoBagnai,Lega,M
Barabotti Andrea,a_barabotti,Lega,M
Bellomo Davide,BellomoDavide70,Lega,M
Benvenuto Alessandro Manuel,alebenvenuto,Lega,M
Bergamini Davide,DBERGAMINI1,Lega,M
Billi Simone,simo_billi,Lega,M
Bisa Ingrid,BisaIngrid,Lega,F
Bitonci Massimo,massimobitonci,Lega,M
Bof Gianangelo,bof_gianangelo,Lega,M
Bordonali Simona,SimonaBordonali,Lega,F
Bossi Umberto,-----,Lega,M
Bruzzone Francesco,BruzzoneLega,Lega,M
Candiani Stefano,CandianiStefano,Lega,M
Caparvi Virginio,VCaparvi,Lega,M
Carloni Mirco,mircocarloni,Lega,M
Carrà Anastasio,-----,Lega,M
Cattoi Vanessa,VCattoi,Lega,F
Cavandoli Laura,LaCavandoli,Lega,F
Cecchetti Fabrizio,FabriCecchetti,Lega,M
Centremero Giulio,GiulioCentemero,Lega,M
Coin Dimitri,DimitriCoin,Lega,M
Comaroli Silvana Andreina,ComaroliSilvana,Lega,F
Crippa Andrea,-----,Lega,M
Dara Andrea,daraandrea1,Lega,M
Di Mattina Salvatore Marcello,-----,Lega,M
Fontana Lorenzo,Fontana3Lorenzo,Lega,M
Formentini Paolo,PaoloFormentin1,Lega,M
Frassini Rebecca,rebeccafrassini,Lega,F
Freni Federico,-----,Lega,M
Furgiuele Domenico,DomenicoFurgiu1,Lega,M
Gava Vannia,VanniaGava,Lega,F
Giaccone Andrea,AndreaGiaccone,Lega,M
Giaconi Dario,-----,Lega,M
Giglio Vigna Alessandro,alevigna980,Lega,M
Giorgetti Giancarlo,-----,Lega,M
Gusmeroli Alberto Luigi,A_Gusmeroli,Lega,M
Iezzi Igor,igoriezzi,Lega,M
Latini Giorgia,latinigiorgia,Lega,F
Lazzarini Arianna,lazzariniari,Lega,F
Loizzo Simona,loizzosimona,Lega,F
Maccanti Elena,Elmac71,Lega,F
Marchetti Riccardo Augusto,RiccardoAugust3,Lega,M
Matone Simonetta,-----,Lega,F
Miele Giovanna,-----,Lega,F
Minardo Antonino,-----,Lega,M
Molinari Riccardo,MolinariRik,Lega,M
Molteni Nicola,NicolaMolteni,Lega,M
Montemagni Elisa,Eli_Montemagni,Lega,F
Morrone Jacopo,JacopoMorrone,Lega,M
Nisini Tiziana,TizianaNisini,Lega,F
Ottaviani Nicola,OttavianiNicola,Lega,M
Panizzut Massimiliano,MaxiPanizzut,Lega,M
Pierro Attilio,-----,Lega,M
Pizzimenti Graziano,-----,Lega,M
Pretto Erik Umberto,ErikPretto,Lega,M
Ravetto Laura,lauraravetto,Lega,F
Rixi Edoardo,edorixi,Lega,M
Sasso Rossano,roxsasso,Lega,M
Stefani Alberto,Stefanicamera,Lega,M
