Cognome e nome,Tipo elezione,Coalizione,FACEBOOK,FACEBOOK NAME,INSTAGRAM
CASTIGLIONE GIUSEPPE,Camera Italia,TERZO POLO,https://www.facebook.com/g.castiglione,Giuseppe Castiglione,
CATTANEO ALESSANDRO,Camera Italia,CENTRODESTRA,https://www.facebook.com/alessandro.cattaneoii,Alessandro Cattaneo,https://www.instagram.com/cattaneoale79/
CATTOI VANESSA,Camera Italia,CENTRODESTRA,https://www.facebook.com/VanessaCattoiOfficial,Vanessa Cattoi,https://www.instagram.com/vanessacattoi/
CAVANDOLI LAURA,Camera Italia,CENTRODESTRA,https://www.facebook.com/CavandoliLaura,Laura Cavandoli,https://www.instagram.com/la_cavandoli/
CAVO ILARIA,Camera Italia,CENTRODESTRA,https://www.facebook.com/ila.cavo,Ilaria Cavo,https://www.instagram.com/ilaria_cavo/
CECCHETTI FABRIZIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/FabriCecchetti,Fabrizio Cecchetti,https://www.instagram.com/fabrizio.cecchetti/
CENTEMERO GIULIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/gcentemero,Giulio Centemero,https://www.instagram.com/giulio_centemero/
CESA LORENZO,Camera Italia,CENTRODESTRA,https://www.facebook.com/LorenzoCesaUdc,Lorenzo Cesa,
CHIESA PAOLA MARIA,Camera Italia,CENTRODESTRA,https://www.facebook.com/PaolaMariaChiesa,Paola Chiesa,
CIABURRO MONICA,Camera Italia,CENTRODESTRA,https://www.facebook.com/monicaciaburro,Monica Ciaburro,https://www.instagram.com/monicaciaburro/
CIANCITTO FRANCESCO MARIA SALVATORE,Camera Italia,CENTRODESTRA,https://www.facebook.com/francescociancittoelezioni2022,Francesco Ciancitto - Fdi,https://www.instagram.com/francescociancitto/
CIANI PAOLO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/cianipaolo,Paolo Ciani,
CIOCCHETTI LUCIANO,Camera Italia,CENTRODESTRA,https://www.facebook.com/lciocchetti,Luciano Ciocchetti,https://www.instagram.com/ciocchettil/
CIRIELLI EDMONDO,Camera Italia,CENTRODESTRA,https://www.facebook.com/edmondocirielliofficial,Edmondo Cirielli,https://www.instagram.com/edmondocirielli/
COIN DIMITRI,Camera Italia,CENTRODESTRA,https://www.facebook.com/profile.php?id=100058041399026,Coin Dimitri,https://www.instagram.com/coindimitrideputato/
COLOSIMO CHIARA,Camera Italia,CENTRODESTRA,https://www.facebook.com/ChiaraColosimoOfficial,Chiara Colosimo,https://www.instagram.com/chiacolosimo/
COLUCCI ALESSANDRO,Camera Italia,CENTRODESTRA,https://www.facebook.com/AleColucciNCI,Ale Colucci,
COLUCCI ALFONSO,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/AlfonsoColucciIT,Alfonso Colucci,https://www.instagram.com/alfonsocolucci_ufficiale/
COMAROLI SILVANA ANDREINA,Camera Italia,CENTRODESTRA,https://www.facebook.com/SilvanaComaroli,Silvana Comaroli,https://www.instagram.com/silvanacomaroli/
COMBA FABRIZIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/fabriziocombapage,Fabrizio COMBA,
CONGEDO SAVERIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/saveriocongedo1,Saverio Congedo,https://www.instagram.com/saveriocongedo/
CONTE GIUSEPPE,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/GiuseppeConte64,Giuseppe Conte,https://www.instagram.com/giuseppeconte_ufficiale/
COPPO MARCELLO,Camera Italia,CENTRODESTRA,https://www.facebook.com/VotoCoppo,Vota Marcello Coppo,
CORTELAZZO PIERGIORGIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/piergiorgiocortelazzo,Piergiorgio Cortelazzo,https://www.instagram.com/piergiorgio.cortelazzo/
COSTA ENRICO,Camera Italia,TERZO POLO,https://www.facebook.com/on.enrico.costa,On. Enrico Costa,
COSTA SERGIO,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/SergioCostaGen,Sergio Costa,https://www.instagram.com/sergiocosta.min/
CRIPPA ANDREA,Camera Italia,CENTRODESTRA,https://www.facebook.com/andreacrippaofficial,Andrea Crippa,https://www.instagram.com/andreacrippa_/
CURTI AUGUSTO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/AugustoCurti2020,Augusto Curti,
D'ALFONSO LUCIANO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/lucianodalfonso.official,Luciano D'Alfonso,https://www.instagram.com/lucianodalfonso/
DALLA CHIESA RITA,Camera Italia,CENTRODESTRA,https://www.facebook.com/rita.dallachiesa.7,Rita Dalla Chiesa,https://www.instagram.com/p/Ci1DAcYI-J_/
DARA ANDREA,Camera Italia,CENTRODESTRA,https://www.facebook.com/dara.andrea.5,Andrea Dara,https://www.instagram.com/dara.andrea.5/
D'ATTIS MAURO,Camera Italia,CENTRODESTRA,https://www.facebook.com/MauroDattis,Mauro D'Attis,https://www.instagram.com/maurodattis/
DE BERTOLDI ANDREA,Camera Italia,CENTRODESTRA,https://www.facebook.com/profile.php?id=100030783742271,Andrea de Bertoldi,https://www.instagram.com/andreadebertoldi/
DE CORATO RICCARDO,Camera Italia,CENTRODESTRA,https://www.facebook.com/SenRiccardoDeCorato,Riccardo De Corato,https://www.instagram.com/riccardo_de_corato/
DE LUCA PIERO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/pierodeluca.it,Piero De Luca,
DE MARIA ANDREA,Camera Italia,CENTROSINISTRA,https://www.facebook.com/andreademaria.eu,Andrea De Maria,
DE MICHELI PAOLA,Camera Italia,CENTROSINISTRA,https://www.facebook.com/paolademicheli,Paola De Micheli,https://www.instagram.com/paolademicheli/
DE PALMA VITO,Camera Italia,CENTRODESTRA,https://www.facebook.com/depalmavito,Vito De Palma,https://www.instagram.com/vito_de_palma/
DEIDDA SALVATORE,Camera Italia,CENTRODESTRA,https://www.facebook.com/salvatoredeiddasasso,Salvatore Deidda Sasso,https://www.instagram.com/salvatoresassodeidda/
DEL BARBA MAURO,Camera Italia,TERZO POLO,https://www.facebook.com/On.MauroDelBarba,Mauro Del Barba,
DELLA VEDOVA BENEDETTO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/BenedettoDellaVedovaOfficial,Benedetto Della Vedova,https://www.instagram.com/benedettodellavedova/
DELL'OLIO GIANMAURO,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/gmdellolio,Gianmauro Dell'Olio,
DELMASTRO DELLE VEDOVE ANDREA,Camera Italia,CENTRODESTRA,https://www.facebook.com/andreadelmastrofdi,Andrea Delmastro,https://www.instagram.com/andrea_delmastro/
DI BIASE MICHELA,Camera Italia,CENTROSINISTRA,https://www.facebook.com/MichelaDiBiaseUfficiale,Michela Di Biase,
DI LAURO CARMELA,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/carmendilaurocameram5s,Carmen Di Lauro,https://www.instagram.com/carmen.di.lauro/
DI MATTINA SALVATORE MARCELLO,Camera Italia,CENTRODESTRA,https://www.facebook.com/TotiSalvatorediMattina,Salvatore Di Mattina - detto Toti,
DONDI DANIELA,Camera Italia,CENTRODESTRA,https://www.facebook.com/danieladondi22,Daniela Dondi,https://www.instagram.com/dondiavv/
DONNO LEONARDO,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/LeonardoDonnoPortavoceM5S,Leonardo Donno,https://www.instagram.com/leonardodonno_m5s/
DONZELLI GIOVANNI,Camera Italia,CENTRODESTRA,https://www.facebook.com/votadonzelli,Giovanni Donzelli,https://www.instagram.com/giovadonze/
DORI DEVIS,Camera Italia,CENTROSINISTRA,https://www.facebook.com/devisdori,Devis Dori,https://www.instagram.com/devis_dori/
D'ORSO VALENTINA,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/ValentinaDorsoM5S,Valentina D'Orso,https://www.instagram.com/valentinadorsom5s/
FARAONE DAVIDE,Camera Italia,TERZO POLO,https://www.facebook.com/DavideFaraone,Davide Faraone,https://www.instagram.com/davide_faraone/
FASCINA MARTA ANTONIA,Camera Italia,CENTRODESTRA,https://www.facebook.com/martafascina09,Marta Fascina,https://www.instagram.com/mf9milan/
FASSINO PIERO FRANCO RODOLFO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/fassinopiero,Piero Fassino,https://www.instagram.com/piero_fassino/
FEDE GIORGIO,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/giorgiofede.m5s,Giorgio Fede,https://www.instagram.com/giorgio_fede/
FENU EMILIANO,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/emilianofenuM5S,Emiliano Fenu,https://www.instagram.com/emilianofenu/
FERRARI SARA,Camera Italia,CENTROSINISTRA,,,
FERRO WANDA,Camera Italia,CENTRODESTRA,https://www.facebook.com/ferrowanda,Wanda Ferro,https://www.instagram.com/ferro_wanda/
FILINI FRANCESCO,Camera Italia,CENTRODESTRA,https://www.facebook.com/francescofilini.pagina,Francesco Filini,https://www.instagram.com/francesco.filini/
FITTO RAFFAELE,Camera Italia,CENTRODESTRA,https://www.facebook.com/fittoraffaele,Raffaele Fitto,https://www.instagram.com/raffaelefitto/
FONTANA ILARIA,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/ilaria.fontana.m5s,Ilaria Fontana,https://www.instagram.com/ilariafontanam5s/
FONTANA LORENZO,Camera Italia,CENTRODESTRA,https://www.facebook.com/LorenzoFontanaOfficial,Lorenzo Fontana,https://www.instagram.com/lorenzofontanaofficial/
FORATTINI ANTONELLA,Camera Italia,CENTROSINISTRA,https://www.facebook.com/antonella.forattini.mantova,Antonella Forattini,https://www.instagram.com/aforattini/
FORNARO FEDERICO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/federicofornaroLEU,Federico Fornaro - Liberi e Uguali,
FOSSI EMILIANO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/fossi.emiliano,Emiliano Fossi,https://www.instagram.com/emifossi/
FOTI TOMMASO,Camera Italia,CENTRODESTRA,https://www.facebook.com/foti.tommaso,Tommaso Foti,
FRASSINETTI PAOLA,Camera Italia,CENTRODESTRA,https://www.facebook.com/on.Paola.Frassinetti,Paola Frassinetti,https://www.instagram.com/frassinetti_paola/
FRASSINI REBECCA,Camera Italia,CENTRODESTRA,https://www.facebook.com/rebeccafrassiniofficial,Rebecca Frassini,https://www.instagram.com/r_frassini/
FRATOIANNI NICOLA,Camera Italia,CENTROSINISTRA,https://www.facebook.com/Fratoianni,Nicola Fratoianni,https://www.instagram.com/nicolafratoianni/
FRENI FEDERICO,Camera Italia,CENTRODESTRA,https://www.facebook.com/f.freni,Federico Freni,https://www.instagram.com/federicofreni_official/
FRIJIA MARIA GRAZIA,Camera Italia,CENTRODESTRA,https://www.facebook.com/mariagraziafrijia,MARIA GRAZIA FRIJIA,https://www.instagram.com/mariagraziafrijia/
FURGIUELE DOMENICO,Camera Italia,CENTRODESTRA,https://www.facebook.com/onfurgiuele,Domenico Furgiuele,https://www.instagram.com/furgiueledomenico/
GALLO FRANCESCO,Camera Italia,ALTRO,https://www.facebook.com/FrancescoGalloDeputatoNazionale,Francesco Gallo Deputato Nazionale,
GARDINI ELISABETTA,Camera Italia,CENTRODESTRA,https://www.facebook.com/GardiniElisabetta,Elisabetta Gardini,https://www.instagram.com/elisabettagardini/
GATTA GIACOMO DIEGO DETTO GIANDIEGO,Camera Italia,CENTRODESTRA,,,
GAVA VANNIA,Camera Italia,CENTRODESTRA,https://www.facebook.com/vanniagavaofficial,Vannia Gava,https://www.instagram.com/vannia_gava/
GEBHARD RENATE,Camera Italia,ALTRO,,,
GEMMATO MARCELLO,Camera Italia,CENTRODESTRA,https://www.facebook.com/marcellogemmatoFDI,Marcello Gemmato,https://www.instagram.com/gemmatomarcello/
GHIO VALENTINA,Camera Italia,CENTROSINISTRA,https://www.facebook.com/valentinaghio71,Valentina Ghio,
GHIRRA FRANCESCA,Camera Italia,CENTROSINISTRA,https://www.facebook.com/francescaghirra.it,Francesca Ghirra,https://www.instagram.com/francescaghirra/
GIAGONI DARIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/DarioGiagoni.paginaufficiale,Dario Giagoni,https://www.instagram.com/giagonidario/
GIANASSI FEDERICO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/federicogianassifirenze,Federico Gianassi,https://www.instagram.com/federicogianassi/
GIGLIO VIGNA ALESSANDRO,Camera Italia,CENTRODESTRA,https://www.facebook.com/alessandro.gigliovigna,Alessandro Giglio Vigna,https://www.instagram.com/alessandro_giglio_vigna_/
GIORGETTI GIANCARLO,Camera Italia,CENTRODESTRA,,,
GIORGIANNI CARMEN LETIZIA,Camera Italia,CENTRODESTRA,https://www.facebook.com/LaGiorgianni,Letizia Giorgianni,
GIOVINE SILVIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/silvio.giovine.83,Silvio Giovine,https://www.instagram.com/silvio_giovine/
